epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,6824.96,1.69481,1.79846,1.99495,0.5624,0.72406,0.61916,0.27828,1.78157,1.42461,2.14682,0.000637,0.000637,0.000637
57,6928.27,1.70092,1.78112,1.98696,0.59059,0.68592,0.63728,0.2999,1.69124,1.41787,2.05687,0.0006304,0.0006304,0.0006304
58,7034.04,1.69399,1.80186,1.97769,0.55517,0.73006,0.63292,0.28058,1.74411,1.41789,2.11862,0.0006238,0.0006238,0.0006238
59,7134.38,1.67384,1.78452,1.98981,0.60358,0.69826,0.64527,0.30125,1.66592,1.38369,2.03759,0.0006172,0.0006172,0.0006172
60,7235.59,1.70306,1.76675,1.96566,0.57296,0.73135,0.63496,0.30137,1.68931,1.42483,2.0491,0.0006106,0.0006106,0.0006106
61,7335.71,1.7053,1.78443,1.9781,0.57085,0.76612,0.62391,0.29594,1.70807,1.40577,2.09533,0.000604,0.000604,0.000604
62,7440.33,1.66327,1.74269,1.95386,0.57412,0.73191,0.64407,0.28844,1.75593,1.40975,2.10503,0.0005974,0.0005974,0.0005974
63,7538.99,1.68635,1.73597,1.95527,0.6096,0.72774,0.64517,0.28921,1.76565,1.39981,2.10093,0.0005908,0.0005908,0.0005908
64,7638.94,1.65965,1.73917,1.94784,0.61188,0.74313,0.68386,0.31603,1.69155,1.35156,2.03519,0.0005842,0.0005842,0.0005842
65,7742.3,1.6214,1.73309,1.92336,0.61874,0.72013,0.67704,0.32296,1.63921,1.36626,2.00543,0.0005776,0.0005776,0.0005776
66,7845.97,1.67202,1.73782,1.94906,0.60405,0.73079,0.63735,0.29405,1.70645,1.41557,2.05263,0.000571,0.000571,0.000571
67,7949.69,1.62658,1.71821,1.91761,0.61239,0.76108,0.6647,0.3127,1.73298,1.33875,2.09521,0.0005644,0.0005644,0.0005644
68,8052.32,1.64608,1.73437,1.94212,0.58932,0.73696,0.6736,0.32575,1.67786,1.34195,2.04976,0.0005578,0.0005578,0.0005578
69,8152.76,1.64613,1.73708,1.93039,0.57756,0.75659,0.66376,0.3262,1.62019,1.3333,2.02361,0.0005512,0.0005512,0.0005512
70,8254.56,1.63747,1.70984,1.93199,0.60429,0.73584,0.70106,0.3433,1.61439,1.32194,1.99966,0.0005446,0.0005446,0.0005446
71,8355.84,1.64028,1.7122,1.89996,0.61148,0.74593,0.6902,0.33188,1.64572,1.31432,2.007,0.000538,0.000538,0.000538
72,8458.96,1.60701,1.70071,1.91585,0.62642,0.77211,0.70544,0.33732,1.66404,1.27471,2.04201,0.0005314,0.0005314,0.0005314
73,8570.96,1.60693,1.68671,1.90662,0.63793,0.75659,0.70862,0.34615,1.60419,1.29753,1.96174,0.0005248,0.0005248,0.0005248
74,8780.77,1.61723,1.65572,1.91945,0.60731,0.76068,0.69069,0.34677,1.59894,1.28118,1.97899,0.0005182,0.0005182,0.0005182
75,8947.29,1.60567,1.61906,1.90732,0.62684,0.75939,0.70701,0.34996,1.61986,1.25621,1.99743,0.0005116,0.0005116,0.0005116
76,9111.37,1.62852,1.64213,1.9258,0.63051,0.79628,0.73324,0.35629,1.6371,1.2571,2.0146,0.000505,0.000505,0.000505
77,9266.46,1.61062,1.63213,1.90987,0.63104,0.77061,0.71106,0.34902,1.62194,1.25023,2.01508,0.0004984,0.0004984,0.0004984
78,9413.37,1.61068,1.6485,1.92115,0.64649,0.74649,0.71533,0.34795,1.62731,1.2696,1.99566,0.0004918,0.0004918,0.0004918
79,9561.85,1.59678,1.63759,1.89621,0.63252,0.7779,0.70211,0.35566,1.61376,1.27465,2.00737,0.0004852,0.0004852,0.0004852
80,9716.28,1.59895,1.62461,1.90422,0.6351,0.74537,0.6932,0.34587,1.59792,1.24093,1.97547,0.0004786,0.0004786,0.0004786
81,9886.28,1.599,1.58379,1.89915,0.63942,0.7751,0.71995,0.36487,1.61596,1.23007,1.99598,0.000472,0.000472,0.000472
82,9983.7,1.57743,1.61786,1.87241,0.64136,0.78463,0.73172,0.39734,1.52583,1.16641,1.90174,0.0004654,0.0004654,0.0004654
83,10081.2,1.57999,1.61554,1.89551,0.6726,0.76853,0.73851,0.37189,1.59929,1.22318,1.99383,0.0004588,0.0004588,0.0004588
84,10180.2,1.60171,1.58903,1.88566,0.65162,0.76108,0.72638,0.37126,1.55966,1.20071,1.95465,0.0004522,0.0004522,0.0004522
85,10279.2,1.56383,1.59236,1.86107,0.6579,0.80482,0.75223,0.39489,1.54525,1.17678,1.95007,0.0004456,0.0004456,0.0004456
86,10378.7,1.5774,1.58914,1.87569,0.66703,0.79024,0.73688,0.39285,1.53171,1.16912,1.94192,0.000439,0.000439,0.000439
87,10484.8,1.57312,1.60412,1.88225,0.67335,0.81046,0.74142,0.3939,1.53356,1.18075,1.93015,0.0004324,0.0004324,0.0004324
